ticket_id,created_at,updated_at,customer_id,product,category,description,severity
1,2024-04-12,2024-04-14 04:00:00,1860,MobileApp,Authentication,API returns 500 error when fetching orders,High
2,2024-09-27,2024-09-29 13:00:00,1020,WebPortal,Authentication,Payment page is very slow,Medium
3,2024-04-12,2024-04-13 00:00:00,1130,MobileApp,Authentication,Payment page is very slow,High
4,2024-05-29,2024-05-31 05:00:00,1769,MobileApp,Data Integrity,Data mismatch between dashboard and export,Low
5,2024-12-09,2024-12-10 06:00:00,1805,Database,Performance,Database query timeout on report generation,Medium
6,2024-07-10,2024-07-12 12:00:00,1276,MobileApp,Performance,Dropdown not working on checkout page,Medium
7,2024-06-09,2024-06-11 10:00:00,1021,WebPortal,Performance,User cannot reset password,High
8,2024-09-09,2024-09-11 01:00:00,1474,Database,Authentication,User cannot reset password,Low
9,2024-02-28,2024-02-29 18:00:00,1475,API,Authentication,Database query timeout on report generation,Medium
10,2024-07-06,2024-07-06 15:00:00,1189,Database,Authentication,API returns 500 error when fetching orders,Low
11,2024-06-23,2024-06-25 14:00:00,1562,API,Data Integrity,Data mismatch between dashboard and export,Low
12,2024-12-29,2024-12-31 07:00:00,1243,MobileApp,Performance,API returns 500 error when fetching orders,Low
13,2024-11-15,2024-11-15 03:00:00,1484,WebPortal,Authentication,Dropdown not working on checkout page,High
14,2024-11-02,2024-11-02 07:00:00,1020,API,Performance,User cannot reset password,Medium
15,2024-11-24,2024-11-25 15:00:00,1273,API,Authentication,Button misaligned on profile page,Medium
16,2024-03-29,2024-03-31 12:00:00,1013,WebPortal,Performance,Database query timeout on report generation,Medium
17,2024-08-29,2024-08-29 09:00:00,1345,WebPortal,UI,App crashes when logging in,High
18,2024-02-22,2024-02-22 02:00:00,1339,MobileApp,UI,Dropdown not working on checkout page,High
19,2024-04-01,2024-04-03 12:00:00,1454,WebPortal,Data Integrity,User cannot reset password,High
20,2024-09-20,2024-09-21 23:00:00,1034,Database,Billing,Database query timeout on report generation,High
21,2024-07-24,2024-07-25 12:00:00,1561,WebPortal,Performance,API returns 500 error when fetching orders,Low
22,2024-12-25,2024-12-25 04:00:00,1001,Database,Data Integrity,Dropdown not working on checkout page,Medium
23,2024-02-23,2024-02-23 04:00:00,1821,WebPortal,Data Integrity,Database query timeout on report generation,Critical
24,2024-07-09,2024-07-09 18:00:00,1729,MobileApp,Authentication,Button misaligned on profile page,Medium
25,2024-02-13,2024-02-14 10:00:00,1201,Database,Data Integrity,Payment page is very slow,Medium
26,2024-09-26,2024-09-28 00:00:00,1270,Database,Data Integrity,API returns 500 error when fetching orders,Low
27,2024-08-02,2024-08-04 14:00:00,1295,MobileApp,Authentication,API returns 500 error when fetching orders,Low
28,2024-07-31,2024-08-02 05:00:00,1791,API,Authentication,API returns 500 error when fetching orders,Medium
29,2024-08-04,2024-08-06 12:00:00,1379,Database,Authentication,API returns 500 error when fetching orders,Low
30,2024-02-10,2024-02-11 05:00:00,1014,WebPortal,Data Integrity,Payment page is very slow,Low
31,2024-10-27,2024-10-29 17:00:00,1856,API,Data Integrity,Data mismatch between dashboard and export,High
32,2024-11-22,2024-11-22 09:00:00,1343,WebPortal,Data Integrity,App crashes when logging in,Medium
33,2024-05-08,2024-05-08 08:00:00,1471,Database,Authentication,Payment page is very slow,Low
34,2024-03-03,2024-03-03 11:00:00,1498,API,Performance,App crashes when logging in,High
35,2024-03-21,2024-03-21 08:00:00,1674,MobileApp,Authentication,Database query timeout on report generation,Low
36,2024-10-15,2024-10-15 05:00:00,1489,WebPortal,Performance,Database query timeout on report generation,Low
37,2024-08-18,2024-08-19 17:00:00,1027,WebPortal,UI,Dropdown not working on checkout page,Low
38,2024-05-14,2024-05-14 12:00:00,1929,WebPortal,UI,Dropdown not working on checkout page,Low
39,2024-02-02,2024-02-04 00:00:00,1502,API,Billing,Database query timeout on report generation,High
40,2024-03-02,2024-03-03 13:00:00,1098,WebPortal,Authentication,User cannot reset password,Critical
41,2024-06-20,2024-06-21 11:00:00,1960,WebPortal,Data Integrity,Data mismatch between dashboard and export,Critical
42,2024-08-14,2024-08-15 23:00:00,1461,MobileApp,Performance,Payment page is very slow,Low
43,2024-05-10,2024-05-10 01:00:00,1004,API,Authentication,Data mismatch between dashboard and export,High
44,2024-08-05,2024-08-05 14:00:00,1870,Database,Performance,Button misaligned on profile page,Low
45,2024-10-09,2024-10-09 09:00:00,1206,Database,Performance,Database query timeout on report generation,Low
46,2024-01-15,2024-01-16 18:00:00,1891,WebPortal,Authentication,Payment page is very slow,Medium
47,2024-06-27,2024-06-29 15:00:00,1863,API,Billing,Dropdown not working on checkout page,Medium
48,2024-08-18,2024-08-20 04:00:00,1095,MobileApp,Authentication,App crashes when logging in,Medium
